id,street_number,route,city,state,zip_code,site_address,latitude,longitude,county,utility_name,reroof_permit_issue_date,reroof_permit_expiration_date,reroof_type
33136,19780,Pacific Gateway Dr,Torrance,CA,90502,"19780 Pacific Gateway Dr, Torrance, CA 90502, USA",33.851577,-118.294618,Los Angeles County,Los Angeles Dept of Water & Power,06/26/2018,03/31/2018,Built Up
37420,9301,Mason Ave,Los Angeles,CA,91311,"9301 Mason Ave, Chatsworth, CA 91311, USA",34.2403109,-118.58071,Los Angeles County,Los Angeles Dept of Water & Power,08/21/2018,05/31/2019,Class A or B
36810,550,S Mission Rd,Los Angeles,CA,90033,"550 S Mission Rd, Los Angeles, CA 90033, USA",34.0393198,-118.2261574,Los Angeles County,Los Angeles Dept of Water & Power,02/27/2017,04/30/2017,Built Up
36162,21001,Nordhoff St,Los Angeles,CA,91311,"21001 Nordhoff St, Chatsworth, CA 91311, USA",34.2358021,-118.5912601,Los Angeles County,Los Angeles Dept of Water & Power,10/07/2015,05/31/2017,Built Up
30811,13000,Pierce St,Los Angeles,CA,91331,"13000 Pierce St, Pacoima, CA 91331, USA",34.2646882,-118.4156713,Los Angeles County,Los Angeles Dept of Water & Power,12/25/2014,04/30/2015,Built Up
2875,9330,De Soto Ave,Los Angeles,CA,91311,"9330 De Soto Ave, Chatsworth, CA 91311, USA",34.2397103,-118.5876089,Los Angeles County,Los Angeles Dept of Water & Power,12/26/2017,07/31/2018,Built Up
42043,12501,Gladstone Ave,Los Angeles,CA,91342,"12501 Gladstone Ave, Sylmar, CA 91342, USA",34.2966474,-118.4142109,Los Angeles County,Los Angeles Dept of Water & Power,10/08/2014,06/30/2015,Comp Shingle
19527,6809,Stanford Ave,Los Angeles,CA,90001,"6809 Stanford Ave, Los Angeles, CA 90001, USA",33.9778329,-118.263441,Los Angeles County,Los Angeles Dept of Water & Power,07/17/2017,07/31/2017,Built Up
44115,4565,Electronics Pl,Los Angeles,CA,90039,"4565 Electronics Pl, Los Angeles, CA 90039, USA",34.1455792,-118.2742118,Los Angeles County,Los Angeles Dept of Water & Power,10/02/2015,10/31/2015,Built Up
29142,7333,Radford Ave,Los Angeles,CA,91605,"7333 Radford Ave, North Hollywood, CA 91605, USA",34.2038574,-118.3928504,Los Angeles County,Los Angeles Dept of Water & Power,04/10/2019,02/28/2020,Class A or B
16971,19515,S Vermont Ave,Torrance,CA,90502,"19515 S Vermont Ave, Torrance, CA 90502, USA",33.853884,-118.2910046,Los Angeles County,Los Angeles Dept of Water & Power,01/08/2013,03/31/2014,Class A or B
43535,13315,S Figueroa St,Los Angeles,CA,90061,"13315 S Figueroa St, Los Angeles, CA 90061, USA",33.9105689,-118.2831756,Los Angeles County,Los Angeles Dept of Water & Power,05/22/2014,06/30/2015,Built Up
2849,20730,Dearborn St,Los Angeles,CA,91311,"20730 Dearborn St, Chatsworth, CA 91311, USA",34.2366504,-118.5850869,Los Angeles County,Los Angeles Dept of Water & Power,05/22/2013,11/30/2014,Built Up
14602,5431,W 104th St,Los Angeles,CA,90045,"5431 W 104th St, Los Angeles, CA 90045, USA",33.9424887,-118.3751393,Los Angeles County,Los Angeles Dept of Water & Power,04/15/2019,08/31/2020,Built Up
21249,11846,Sherman Way,Los Angeles,CA,91605,"11846 Sherman Way, North Hollywood, CA 91605, USA",34.2008927,-118.3919375,Los Angeles County,Los Angeles Dept of Water & Power,05/19/2015,02/29/2016,Built Up
41054,900,N Highland Ave,Los Angeles,CA,90038,"900 N Highland Ave, Los Angeles, CA 90038, USA",34.0876101,-118.3382502,Los Angeles County,Los Angeles Dept of Water & Power,06/19/2015,09/30/2016,Class A or B
42047,12458,Gladstone Ave,Los Angeles,CA,91342,"12458 Gladstone Ave, Sylmar, CA 91342, USA",34.2970179,-118.4114725,Los Angeles County,Los Angeles Dept of Water & Power,08/13/2014,10/31/2015,Built Up
51377,3515,Wilshire Blvd,Los Angeles,CA,90010,"3515 Wilshire Blvd, Los Angeles, CA 90010, USA",34.0620397,-118.300909,Los Angeles County,Los Angeles Dept of Water & Power,02/01/2013,06/30/2013,Class A or B
11472,900,E 62nd St,Los Angeles,CA,90001,"900 E 62nd St, Los Angeles, CA 90001, USA",33.9827851,-118.2583269,Los Angeles County,Los Angeles Dept of Water & Power,05/16/2016,07/31/2017,Built Up
17220,13690,Vaughn St,San Fernando,CA,91340,"13690 Vaughn St, San Fernando, CA 91340, USA",34.2753249,-118.4304576,Los Angeles County,Los Angeles Dept of Water & Power,01/25/2017,03/31/2018,Built Up
8703,6800,S Avalon Blvd,Los Angeles,CA,90003,"6800 S Avalon Blvd, Los Angeles, CA 90003, USA",33.9775861,-118.2640826,Los Angeles County,Los Angeles Dept of Water & Power,10/23/2017,01/31/2019,Built Up
15965,3185,E Washington Blvd,Los Angeles,CA,90023,"3185 E Washington Blvd, Los Angeles, CA 90023, USA",34.0156284,-118.2106672,Los Angeles County,Los Angeles Dept of Water & Power,02/13/2017,06/30/2018,Built Up
